Time,Magnitude,Longitude,Latitude,Depth
23:52:18,0.9,-116.8843333,33.3728333,5.77
23:51:29,0.7,-116.4255,33.1663333,13.13
23:50:20,1.3,-149.8243,66.3862,8.2
23:50:15,1.27,-116.7341667,33.5245,4.38
23:46:22,1.7,-116.5925,33.0383333,12.79
23:44:29,0.73,-122.818000793457,38.8310012817383,1.75
23:38:04,0.5,-122.831001281738,38.8136672973633,1.1599999666214
23:37:32,0.76,-122.830833435059,38.8134994506836,1.52999997138977
23:35:33,0.36,-118.816666666667,37.4608333333333,5.75
23:35:16,0.63,-116.607,33.051,13.07
23:32:33,1.3,-116.0518333,32.727,7.25
23:31:48,1.06,-117.1876667,34.0088333,14.03
23:26:11,1.05,-118.818333333333,37.4575,2.21
23:23:16,2.56,-121.520500183105,37.272834777832,20.4799995422363
23:15:06,1.76,-116.6278333,33.065,13.82
23:14:31,1.05,-122.782836914062,38.7985000610352,3.38000011444092
23:10:22,2.21,-116.9381667,34.2906667,7.04
23:07:08,4.0,139.0215,29.8077,413.17
23:04:39,1.68,-116.939,34.2903333,7.22
23:01:31,1.75,-116.9378333,34.2895,7.03
23:00:40,0.0,-177.853166666667,51.8593333333333,6.03
22:56:48,2.33,-116.9386667,34.2906667,7.04
22:51:13,0.84,-116.5758333,33.0346667,12.93
22:44:01,4.4,107.0771,-8.2413,26.085
22:40:15,1.96,-117.6158333,35.8021667,2.91
22:35:06,2.9,-150.0564,60.7261,34.5
22:32:21,1.0,-117.7916667,35.3533333,5.37
22:31:25,-0.19,-152.335833333333,61.298,-3.18
22:28:25,1.36,-118.4533333,34.295,8.46
22:26:42,1.48,-116.6251667,33.0695,14.3
22:17:25,4.6,146.0844,43.1298,70.452
22:06:00,0.99,-116.5878333,33.0381667,13.02
22:04:50,4.2,-69.1264,-20.2767,94.729
22:02:37,1.6,-116.6028333,33.0466667,13.31
21:57:41,1.6,-149.4936,63.7226,66.1
21:56:43,0.96,-122.737335205078,38.7895011901855,1.64999997615814
21:49:19,1.27,-116.6123333,33.052,12.7
21:40:56,0.43,-122.782501220703,38.7943344116211,1.35000002384186
21:39:22,0.74,-122.759498596191,38.7773323059082,1.19000005722046
21:32:05,0.79,-116.7065,33.1596667,13.47
21:26:01,1.11,-117.2995,34.068,14.2
21:05:57,2.28,-118.9716667,34.5316667,11.32
21:05:13,2.1,-148.9342,62.8563,8.3
21:03:42,1.48,-116.6081667,33.0541667,15.33
20:59:29,2.94,-67.0318333333333,18.183,28.12
20:56:39,1.73,-112.297833333333,41.957,8.72
20:53:26,1.03,-122.790336608887,38.8359985351562,1.78999996185303
20:53:12,0.63,-116.5741667,33.0293333,13.21
20:44:05,2.0,-71.2282,43.4005,5.0
20:43:07,1.36,-116.5596667,33.065,14.92
20:41:59,0.5,-116.5835,33.0393333,12.87
20:41:01,0.89,-116.583,33.051,14.3
20:39:31,1.19,-116.5531667,33.0638333,14.11
20:38:19,1.04,-116.6236667,33.0803333,15.74
