Time,Magnitude,Longitude,Latitude,Depth
23:55:21,1.6,-151.5465,60.6261,59.7
23:41:17,2.03,-121.368499755859,36.6948318481445,0.670000016689301
23:38:57,1.1,-101.474,32.021,4.6522
23:38:06,1.53,-117.6831667,34.1946667,5.33
23:37:56,6.6,-175.7204,-14.8149,314.19
23:37:43,2.3,-102.176,31.975,6.851
23:32:29,1.8,-99.045,28.824,2.8816
23:27:39,4.9,161.1832,52.9611,10.0
23:23:23,2.02,-116.6035,33.047,13.18
23:01:33,1.8,-147.5294,64.7078,0.0
22:42:20,2.3,-149.79,63.1801,119.0
22:42:05,3.1,-162.2522,55.4333,61.1
22:39:24,5.8,160.9805,53.0732,10.0
22:38:48,2.61,-66.9121666666667,17.9315,9.78
22:37:25,6.1,161.1077,52.9214,10.0
22:33:41,0.75,-117.5436667,35.742,6.92
22:17:57,1.3,-152.2705,59.9115,29.0
22:07:35,1.85,-122.75350189209,38.7929992675781,0.189999997615814
21:37:53,0.78,-122.819831848145,38.806999206543,3.04999995231628
21:34:39,2.6,-153.1418,59.0903,75.2
21:22:46,1.3,-103.813,32.003,7.4841
21:21:17,1.3,-103.813,32.003,7.0227
21:11:12,1.13,-122.783836364746,38.836498260498,2.41000008583069
20:52:36,2.0,-152.0552,59.8464,51.3
20:50:06,2.53,-66.8621666666667,17.888,15.89
20:42:35,0.77,-122.814002990723,38.8320007324219,2.21000003814697
20:37:11,4.2,-160.1951,54.4981,35.0
20:35:21,1.55,-97.34833333,35.8955,6.22
20:22:43,1.1,-102.428,31.9,1.001
20:18:28,1.58,-97.34683333,35.89483333,6.03
20:00:49,2.2,-98.976,28.838,7.0994
19:37:45,1.5,-104.016,31.488,6.2024
19:22:39,5.4,145.6829,18.2188,143.0
19:19:21,1.2,-152.586,60.2393,102.1
19:15:41,2.07,-66.9041666666667,17.8995,10.7
19:11:41,0.64,-116.6796667,33.5095,12.14
19:09:57,1.8,-157.3367,57.9867,43.4
19:09:42,4.6,160.6369,52.7697,10.0
19:07:55,0.24,-117.7245,35.911,5.66
19:05:50,1.13,-97.34983333,35.89166667,7.52
18:56:58,1.48,-121.77116394043,36.8921661376953,13.8400001525879
18:55:01,1.07,-97.34283333,35.90033333,7.28
18:50:10,1.91,-97.34383333,35.89583333,6.37
18:44:21,4.4,120.6315,-1.9989,13.965
18:43:27,1.53,-97.34983333,35.89816667,7.56
18:39:11,2.94,-97.34483333,35.8985,7.95
18:33:54,4.7,125.49,0.3857,61.053
18:25:02,1.1,-104.327,31.606,7.2534
18:17:29,2.37,-66.9181666666667,17.9196666666667,10.13
18:13:09,2.8,-149.5991,61.1436,25.0
18:06:02,0.89,-116.0795,33.7798333,2.4
17:53:46,1.2,-150.765,62.7144,78.0
