Time,Magnitude,Longitude,Latitude,Depth
23:56:36,1.02,-122.823165893555,38.8269996643066,1.69000005722046
23:55:42,1.04,-122.811668395996,38.8303337097168,1.61000001430511
23:54:57,2.0,-66.325,17.967,13.94
23:51:59,4.5,66.8702,-14.9073,10.0
23:49:54,0.5,-116.7365,33.5341667,3.93
23:43:35,-0.11,-155.327333333333,58.1803333333333,2.33
23:34:08,1.17,-166.474666666667,53.8166666666667,2.05
23:32:08,2.4,-104.347,31.665,4.8425
23:25:07,0.21,179.705,51.993,7.01
23:24:10,0.7,-122.823165893555,38.828498840332,1.5900000333786
23:23:35,-1.06,-152.808166666667,60.5663333333333,8.27
23:21:43,2.71,-120.335,47.723333333333336,5.67
23:19:41,2.1,-148.1819,65.4435,2.4
23:19:40,1.18,-116.7456667,33.5235,4.15
23:18:25,0.7,-166.475166666667,53.8553333333333,11.17
23:12:35,0.78,-122.823333740234,38.8279991149902,1.78999996185303
23:12:00,0.27,-122.825500488281,38.8293342590332,2.15000009536743
23:10:15,0.32,-122.744331359863,38.78466796875,1.54999995231628
22:56:05,0.87,-116.8198333,33.7211667,17.05
22:56:02,0.28,-116.812,33.7408333,15.69
22:55:01,1.7,-150.6835,63.2545,27.9
22:45:40,1.57,-121.63516998291,37.2566680908203,5.23999977111816
22:44:21,0.17,-177.258833333333,51.8911666666667,12.98
22:33:38,1.23,-117.8103333,35.329,9.85
22:32:36,1.6,-117.9369,38.1574,9.1
22:29:40,2.4,-104.181,31.673,5.8435
22:29:38,1.7,-104.193,31.673,6.0999
22:20:00,1.5,-104.2,31.67,4.2989
22:17:18,2.6,-104.195,31.666,6.0999
22:14:16,1.08,-122.822334289551,38.8279991149902,1.69000005722046
22:06:27,0.16,-155.092166666667,58.2331666666667,24.59
22:05:00,1.8,-104.197,31.665,4.8999
22:04:59,3.0,-115.1001,44.3573,11.255
21:58:01,1.7,-104.195,31.666,4.3328
21:57:14,1.1,-117.3666667,33.6695,9.55
21:51:42,2.5,-104.188,31.671,6.2537
21:51:38,2.4,-104.188,31.668,5.6897
21:49:57,0.9,-117.4285,34.2196667,13.86
21:43:36,1.6,-104.192,31.671,3.8543
21:43:36,0.73,-122.835998535156,38.839168548584,1.47000002861023
21:37:37,0.78,-166.473666666667,53.8481666666667,11.63
21:37:27,4.9,145.2287,18.5156,467.895
21:24:16,3.2,-115.009,44.339,14.174
21:21:50,1.6,-104.194,31.672,4.1169
21:18:47,1.6,-98.078,28.467,5.0
21:15:33,1.6,-104.46,31.634,7.4199
21:14:23,2.1,-150.2862,61.0309,41.1
21:13:06,1.9,-104.186,31.676,2.2104
21:12:01,3.0,-104.189,31.67,5.882
21:05:29,1.2,-150.7678,60.7566,19.8
21:02:06,1.07,-122.818168640137,38.8144989013672,2.84999990463257
21:00:41,1.8,-104.172,31.704,6.4075
20:57:53,0.76,-177.088833333333,51.6435,15.32
20:52:06,1.6,-151.4054,61.7313,15.0
20:49:51,0.33,179.628666666667,51.8753333333333,10.4
20:31:52,1.41,-122.8125,38.8296661376953,1.64999997615814
20:12:52,-0.09,-152.6585,60.554,3.36
20:10:41,1.8,-157.258,67.7133,0.1
20:04:41,0.68,-122.162333333333,38.3538333333333,7.91
20:02:32,1.74,-163.399666666667,54.731,2.43
20:01:50,1.12,-122.49833333333333,46.59733333333333,22.28
20:00:45,3.9,-115.1093,44.332,7.777
19:57:12,1.34,-116.4911667,33.4733333,9.98
19:50:25,1.64,-117.3608333,34.1513333,12.0
19:48:49,0.19,-122.716333333333,38.748,0.73
19:44:52,1.82,-122.719497680664,38.7423324584961,1.1599999666214
19:43:45,3.36,-115.009,44.3486666666667,6.35
19:43:19,1.03,-117.0223333,33.6991667,11.98
19:32:31,1.8,-104.179,31.703,3.9715
19:28:31,5.9,-177.8708,-21.9636,359.0
19:18:26,0.7,-148.2148,64.5486,11.2
19:13:05,0.71,-122.814331054688,38.8281669616699,2.10999989509583
19:10:05,2.85,-66.4818333333333,19.06,31.77
19:05:38,4.2,139.4549,-4.3755,11.174
18:50:19,1.8,-149.7766,59.229,19.1
18:45:19,2.24,-155.415333333333,19.0095,36.18
18:45:15,2.05,-155.440994262695,19.0563335418701,34.7700004577637
18:35:38,1.0,-102.144,32.385,10.4271
18:32:12,0.39,-122.820333333333,38.8168333333333,2.77
18:29:11,1.2,-122.4395,46.5155,15.33
18:25:49,3.0,-150.8059,59.6331,32.5
18:18:55,1.69,-110.004166666667,44.6775,14.71
18:13:07,0.69,-117.0183333,33.6976667,12.75
18:10:33,0.46,-117.0111667,33.6968333,11.52
18:08:44,0.88,-117.2616667,34.0526667,17.06
18:07:46,2.03,-119.643666666667,37.2866666666667,22.5
18:00:09,4.6,65.4299,-18.848,10.0
17:58:05,-0.78,-155.145,58.2468333333333,3.02
17:42:16,2.8,-149.1006,60.3459,25.5
17:40:24,-0.72,-152.246833333333,61.3123333333333,-2.52
17:31:44,0.3,-166.149166666667,53.9896666666667,19.43
17:30:59,1.42,-117.8116667,35.3356667,6.77
17:30:46,-0.47,-155.012333333333,58.2993333333333,2.78
17:29:35,0.28,-122.839333333333,38.8415,2.27
17:27:52,2.0,-148.7376,62.763,0.0
17:27:17,1.7623612880706787,-120.5711669921875,44.12183380126953,-1.64999997615814
17:18:37,1.37,-117.8073333,35.3321667,7.79
17:18:05,1.0,-102.087,32.362,4.6905
17:17:53,2.3,-115.0634,44.3454,5.0
17:17:24,2.1,-104.179,31.704,4.1652
17:15:06,6.4,-70.4891,-26.6448,76.583
17:06:41,1.02,-117.8091667,35.3306667,8.5
17:05:49,-0.85,-152.758166666667,60.5001666666667,0.89
16:58:31,1.2,-154.4697,58.9086,105.5
16:56:36,0.73,-116.562,33.9773333,10.31
16:56:26,0.84,-116.3826667,33.2546667,3.43
16:47:55,0.75,-122.815170288086,38.8279991149902,2.17000007629395
16:45:55,1.35,-118.811836242676,37.4616661071777,3.55999994277954
16:40:25,0.46,-121.6945,46.8245,2.83
16:35:28,-0.15,-159.446666666667,56.1825,8.58
16:34:12,-0.47,-152.343166666667,61.2966666666667,1.29
16:08:02,1.77,-117.3205,34.1108333,16.75
15:51:58,2.1,-116.5004,38.4766,3.3
15:50:06,2.76,-155.4205,18.9878333333333,36.53
15:48:43,0.73,-117.508,35.6936667,3.89
15:46:59,1.32,-117.5453333,34.2033333,9.44
15:43:11,1.71,-116.4021667,33.316,11.7
15:34:04,1.29,-111.917166666667,45.6861666666667,1.47
15:16:58,2.14,-115.007,44.3318333333333,5.73
15:05:53,0.12,-166.472,53.837,9.13
15:05:20,1.5,-153.3121,59.9257,128.7
14:57:15,1.84,-116.7281667,33.6793333,15.56
14:56:49,1.8,-103.376,31.942,5.741
14:52:29,-0.83,-152.339833333333,61.2953333333333,2.75
14:50:59,1.1,-147.9152,65.5729,2.0
14:48:21,0.25,-177.414,51.6593333333333,8.9
14:48:13,0.5,-118.854,37.5381666666667,6.36
14:46:45,3.31,-115.015666666667,44.352,7.49
14:43:12,0.71,-116.7376667,33.2271667,12.08
14:36:46,0.44,-118.827833333333,37.5273333333333,7.98
14:25:15,2.38,-66.8681666666667,17.8826666666667,12.31
14:22:56,0.71,-176.151166666667,52.0605,3.07
14:20:53,0.29,-153.419333333333,59.3601666666667,2.7
14:20:29,0.69,-153.426166666667,59.3576666666667,2.26
14:18:34,0.48,-117.6958333,35.8811667,8.67
14:13:46,1.19,-115.4896667,32.875,5.83
14:13:18,0.98,-116.8691667,33.3788333,5.79
14:08:20,2.15,-66.847,17.9638333333333,13.21
14:05:14,1.7,-152.7663,59.5798,85.0
14:02:03,1.1,-116.373,33.9803333,7.74
13:56:13,0.75,-122.69216666666667,46.0985,13.54
13:52:19,2.42,-66.743,17.976,10.26
13:50:50,1.6,-152.8936,59.7889,103.0
13:49:30,1.98,-122.22533416748,37.8161659240723,2.38000011444092
13:48:56,0.82,-122.762168884277,38.8146667480469,4.67999982833862
13:48:30,-0.53,-152.224333333333,61.3373333333333,8.11
13:47:35,0.79,-114.437666666667,46.966,14.09
13:40:49,1.87,-66.8365,17.9806666666667,14.64
13:32:09,4.07,-68.8791,18.6531,129.0
13:24:53,0.5,-122.830169677734,38.8139991760254,1.12000000476837
13:19:43,1.08,-122.814498901367,38.816333770752,2.78999996185303
13:19:32,1.9,-103.378,31.939,6.3562
13:08:38,1.09,-117.8098333,35.3346667,8.52
13:04:40,1.53,-117.8111667,35.3355,7.86
13:01:22,-0.29,-152.673,60.438,5.76
13:00:40,1.81,-155.6355,19.4118333333333,0.0
12:54:01,1.6,-153.3963,60.0444,127.4
12:42:11,4.7,128.4661,4.2693,10.0
12:39:34,-0.33,-177.273833333333,51.8908333333333,14.26
12:37:10,4.6,-179.8504,-24.1803,510.044
12:18:48,2.5,-144.8834,69.5589,0.0
12:14:35,-0.28,-176.1685,52.0951666666667,4.4
12:10:40,0.24,-122.815498352051,38.8283348083496,2.19000005722046
12:05:24,0.26,-122.817665100098,38.8144989013672,3.0699999332428
12:02:14,0.04,-118.880333333333,37.547,5.3
11:57:18,0.74,-122.846336364746,38.8214988708496,1.78999996185303
11:43:17,1.83,-155.40950012207,19.2588329315186,33.4099998474121
11:40:51,1.7,-104.439,31.652,7.0483
11:31:00,1.08,-111.926666666667,39.3561666666667,2.46
11:29:26,1.99,-115.010333333333,44.3468333333333,7.38
11:25:42,2.6,-115.0157,44.3369,4.712
11:21:19,2.74,-124.921669006348,40.3148345947266,16.6700000762939
11:12:04,3.93,-155.422833333333,19.0005,37.07
11:07:36,0.63,-121.672,47.9175,12.58
11:03:06,0.76,-122.818336486816,38.8321647644043,1.97000002861023
11:02:10,1.2,-149.1585,62.7726,20.1
10:58:23,0.97,-121.66233333333334,47.92183333333333,10.18
10:54:48,0.66,-116.4943333,33.4926667,12.1
10:52:56,-0.32,-166.4845,53.8485,10.67
10:50:50,0.51,-166.465166666667,53.8445,11.25
10:47:03,0.95,-122.726165771484,38.7939987182617,1.97000002861023
10:44:05,1.35,-122.38833333333334,48.427,9.13
10:39:24,4.2,151.0959,47.3278,206.683
10:30:27,0.75,-122.800666809082,38.7975006103516,2.28999996185303
10:27:35,1.0,-148.8266,62.11,31.4
10:24:28,-0.29,-177.261833333333,51.9016666666667,14.05
10:23:17,2.0,-102.03,32.41,7.6172
10:21:14,0.77,-122.803833007812,38.8214988708496,2.48000001907349
10:21:08,-0.54,-176.165,52.0976666666667,13.03
10:17:16,0.12,-159.462833333333,56.1328333333333,8.76
10:16:57,0.31,-122.797833333333,38.8375,1.82
10:03:18,0.11,-122.77,38.7913333333333,3.91
10:01:18,0.56,-122.85383605957,38.8246650695801,2.69000005722046
09:54:28,2.65,-155.915333333333,19.8658333333333,30.16
09:51:57,1.3,-111.110666666667,44.7546666666667,10.86
09:51:16,2.15,-111.116,44.759,11.72
09:43:10,1.0,-114.7922,36.314,1.7
09:37:10,1.08,-122.804336547852,38.8211669921875,3.13000011444092
09:33:43,1.84,-115.000166666667,44.3305,7.99
09:30:15,-0.11,-152.244166666667,61.1848333333333,6.67
09:22:50,0.72,-122.805335998535,38.8214988708496,2.89000010490417
09:22:16,0.37,-122.40216666666667,46.130833333333335,19.46
09:18:34,4.3,23.2879,35.1857,42.809
09:15:57,0.9,-146.8386,64.6818,16.9
09:14:23,1.8,-104.18,31.68,6.0486
09:06:52,4.5,-61.4107,14.9407,151.913
09:03:14,0.42,-123.4115,47.386833333333335,15.15
09:02:26,1.1,-111.401166666667,39.0068333333333,-0.59
09:01:25,-0.03,-152.109666666667,61.3038333333333,5.28
08:56:15,0.83,-110.031,44.6901666666667,14.08
08:38:40,1.56,-97.5105,36.2915,9.3
08:36:00,1.3,-151.2711,65.2704,0.0
08:35:37,1.21,-122.794998168945,38.8175010681152,2.32999992370605
08:31:29,-0.39,-177.844666666667,51.8706666666667,8.81
08:29:46,-0.3,-116.279,36.5976,6.2
08:26:48,-0.4,-116.293,36.7286,8.3
08:25:42,0.95,-117.8061667,35.3313333,7.89
08:16:45,1.03,-122.801666259766,38.8250007629395,2.50999999046326
08:15:06,0.81,-116.3841667,33.9678333,8.26
08:08:36,1.4,-148.3574,61.9912,28.5
08:08:22,1.07,-122.770164489746,38.781665802002,3.85999989509583
08:05:38,0.92,-116.369,33.1903333,11.37
08:01:11,0.97,-122.3395,47.49616666666667,29.25
07:57:34,0.26,-122.727333333333,38.7751666666667,1.75
07:50:26,0.32,-178.84,51.8711666666667,15.86
07:48:15,0.36,-116.7345,33.5271667,4.43
07:46:49,0.53,-116.5203333,33.4805,13.37
07:45:46,0.88,-117.8136667,35.3323333,7.68
07:44:54,1.7,-117.8096667,35.3365,6.91
07:44:19,1.99,-115.003833333333,44.3305,5.41
07:37:13,4.4,49.6721,13.2819,10.0
07:28:16,4.2,-67.0836,-23.4623,208.104
07:23:56,2.4,-66.8496666666667,17.918,12.13
07:21:07,1.9,-114.6377,37.2853,2.1
07:16:12,4.0,-114.6424,37.266,4.3
07:12:26,0.69,-122.855331420898,38.8251647949219,2.27999997138977
07:08:14,0.78,-176.942333333333,51.6985,2.89
07:07:33,0.7,-119.6574,38.8041,0.0
07:07:03,1.87,-155.2885,19.4896666666667,10.8
07:06:01,1.01,-122.832496643066,38.8753318786621,0.860000014305115
07:05:05,1.43,-117.1075,33.7666667,14.9
06:59:53,1.1,-150.4229,64.6104,9.3
06:54:31,0.24,-159.4195,56.3095,3.23
06:47:41,1.2,-148.8518,62.2918,29.7
06:38:52,-0.2,-116.0715,36.7988,5.4
06:37:48,4.0,-102.7535,27.708,10.0
06:32:29,1.4,-159.5438,56.2692,1.3
06:16:37,0.76,-117.021,33.7006667,11.96
06:15:37,-0.3,-116.0717,36.8007,5.4
06:14:32,4.4,139.0072,-2.6435,39.979
06:09:13,1.9,-104.286,31.659,8.0481
06:06:50,-0.73,178.538333333333,51.9501666666667,6.6
06:04:54,1.68,-121.306831359863,36.673168182373,2.48000001907349
06:02:30,2.2,-98.397,28.554,5.0
06:02:13,0.96,-117.5621667,35.7708333,12.87
06:02:08,0.94,-117.8073333,35.3331667,8.76
06:00:19,4.0,-102.838,27.6648,10.0
05:50:07,0.43,-121.697,45.279833333333336,9.11
05:49:03,1.8,-104.434,31.646,7.4841
05:33:54,0.76,-122.844665527344,38.8214988708496,2.32999992370605
05:32:25,0.39,-122.837333333333,38.8451666666667,1.74
05:25:26,0.44,-122.8125,38.8296661376953,1.11000001430511
05:21:20,2.98,-66.5896666666667,17.9076666666667,13.1
05:11:03,1.82,-121.298835754395,36.673168182373,4.07999992370605
05:06:45,2.12,-115.003166666667,44.3263333333333,9.52
05:01:07,0.9,-119.7409,39.3849,6.6
04:55:53,1.6,-121.303833007812,36.6721649169922,3.22000002861023
04:52:27,1.19,-121.6345,37.6838333333333,10.83
04:49:14,2.01,-115.021166666667,44.3433333333333,8.28
04:47:07,0.15,-116.7218333,33.576,3.44
04:45:50,1.06,-122.776336669922,38.7993316650391,3.15000009536743
04:37:07,1.02,-177.292,51.894,11.61
04:36:11,1.7,-104.336,31.621,6.0999
04:33:45,1.04,-122.80249786377,38.8354988098145,2.08999991416931
04:32:17,-0.85,-177.241166666667,51.8845,13.55
04:32:04,2.31,-115.0025,44.3268333333333,5.67
04:22:16,4.2,143.4666,21.9807,203.705
04:19:07,1.1,-104.22,31.525,2.2342
04:17:59,1.4,-149.2331,62.6889,58.0
04:09:39,2.18,-119.993499755859,35.8651657104492,6.1399998664856
04:06:40,0.2,-116.7196667,33.5366667,5.63
03:56:43,0.51,-159.520166666667,56.271,4.94
03:55:02,0.87,-112.5215,46.8743333333333,9.87
03:54:14,0.31,-166.473666666667,53.8525,11.68
03:50:37,0.75,-122.822334289551,38.8115005493164,3.03999996185303
03:48:12,2.4,-115.0126,44.3346,5.0
03:45:45,2.06,-115.002833333333,44.3306666666667,7.9
03:45:32,1.24,-116.047,33.1841667,11.28
03:45:17,1.31,-115.9385,33.211,7.08
03:45:07,1.16,-115.9386667,33.211,7.12
03:43:03,0.83,-159.464,56.2986666666667,4.11
03:27:22,2.7,-103.301,31.953,4.9719
03:23:41,-0.4,-116.279,36.7461,8.7
03:21:27,0.49,-116.7211667,33.5366667,6.04
03:20:47,1.9,-115.000166666667,44.3215,6.13
03:20:31,1.8,-149.013,63.41,82.6
03:18:47,1.4,-150.1915,62.1282,59.0
03:15:26,1.41,-121.0725,35.7211666666667,6.83
03:14:53,1.51,-116.4738333,34.4561667,5.98
03:05:51,0.54,-116.7845,33.4998333,7.37
03:05:24,0.27,-122.80933380127,38.8196678161621,3.48000001907349
03:04:44,3.84,-64.8911,19.5941,35.0
02:53:36,2.6,-114.9988,44.335,10.0
02:51:04,1.97,-114.9985,44.3311666666667,8.59
02:43:36,4.2,-66.7907,-24.1347,207.752
02:42:29,2.0,-104.189,31.677,6.1127
02:41:32,2.5,-115.0105,44.3271,5.0
02:40:53,-0.07,-159.521833333333,56.2566666666667,2.78
02:36:06,3.6,-115.0362,44.2994,12.061
02:35:39,1.28,-118.813003540039,37.4606666564941,2.58999991416931
02:35:09,3.6,-115.0038,44.333,10.0
02:32:40,0.53,-122.746002197266,38.7988319396973,1.49000000953674
02:32:26,0.8,-122.80249786377,38.7960014343262,1.4099999666214
02:21:19,1.03,-169.737833333333,52.77,9.37
02:17:03,1.09,-122.817497253418,38.8121681213379,2.74000000953674
02:07:12,-0.09,-159.496666666667,56.2673333333333,3.63
02:00:40,1.26,-117.8011667,35.3155,7.76
01:54:31,2.29,-67.0651666666667,17.9951666666667,13.91
01:54:18,0.31,-122.801666259766,38.7980003356934,1.9099999666214
01:46:25,1.34,-115.5276667,32.8968333,7.69
01:42:34,1.5,-103.723,32.067,8.1378
01:42:27,2.0,-148.9271,62.7263,0.8
01:29:54,1.8,-117.9474,38.1478,11.6
01:27:01,0.8,-122.733665466309,38.75,3.53999996185303
01:07:19,-0.6,-113.821833333333,47.7148333333333,3.85
01:02:35,1.6,-152.6125,59.9483,80.0
00:55:47,0.99,-177.436,51.7315,7.72
00:55:26,2.86,-64.5771666666667,18.689,23.88
00:51:14,0.7,-116.6576667,33.2415,11.68
00:51:06,2.1,-66.5981666666667,17.8923333333333,12.19
00:48:48,2.53,-66.5941666666667,17.9071666666667,12.19
00:45:26,0.76,-122.744499206543,38.7836685180664,1.64999997615814
00:37:16,4.2,130.9085,-5.6988,82.027
00:07:22,2.0,-150.4144,63.1313,101.7
00:07:10,4.5,-91.3754,15.0633,191.334
00:03:56,1.5,-104.39,31.68,5.6384
